Name,Active,Convention,Tenor,FixingTime,FixingZone
USD-SOFR-1100-15Y,TRUE,USD-FIXED-1Y-SOFR-OIS,15Y,11:00,America/New_York
USD-SOFR-1100-20Y,TRUE,USD-FIXED-1Y-SOFR-OIS,20Y,11:00,America/New_York
USD-SOFR-1100-30Y,TRUE,USD-FIXED-1Y-SOFR-OIS,30Y,11:00,America/New_York
,,,,,
JPY-TONA-1030-1Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,1Y,10:30,Asia/Tokyo
JPY-TONA-1030-18M,TRUE,JPY-FIXED-1Y-TONAR-OIS,18M,10:30,Asia/Tokyo
JPY-TONA-1030-2Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,2Y,10:30,Asia/Tokyo
JPY-TONA-1030-3Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,3Y,10:30,Asia/Tokyo
JPY-TONA-1030-4Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,4Y,10:30,Asia/Tokyo
JPY-TONA-1030-5Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,5Y,10:30,Asia/Tokyo
JPY-TONA-1030-6Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,6Y,10:30,Asia/Tokyo
JPY-TONA-1030-7Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,7Y,10:30,Asia/Tokyo
JPY-TONA-1030-8Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,8Y,10:30,Asia/Tokyo
JPY-TONA-1030-9Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,9Y,10:30,Asia/Tokyo
JPY-TONA-1030-10Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,10Y,10:30,Asia/Tokyo
JPY-TONA-1030-12Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,12Y,10:30,Asia/Tokyo
JPY-TONA-1030-15Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,15Y,10:30,Asia/Tokyo
JPY-TONA-1030-20Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,20Y,10:30,Asia/Tokyo
JPY-TONA-1030-25Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,25Y,10:30,Asia/Tokyo
JPY-TONA-1030-30Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,30Y,10:30,Asia/Tokyo
JPY-TONA-1030-40Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,40Y,10:30,Asia/Tokyo
,,,,,
JPY-TONA-1530-1Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,1Y,15:30,Asia/Tokyo
JPY-TONA-1530-18M,TRUE,JPY-FIXED-1Y-TONAR-OIS,18M,15:30,Asia/Tokyo
JPY-TONA-1530-2Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,2Y,15:30,Asia/Tokyo
JPY-TONA-1530-3Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,3Y,15:30,Asia/Tokyo
JPY-TONA-1530-4Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,4Y,15:30,Asia/Tokyo
JPY-TONA-1530-5Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,5Y,15:30,Asia/Tokyo
JPY-TONA-1530-6Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,6Y,15:30,Asia/Tokyo
JPY-TONA-1530-7Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,7Y,15:30,Asia/Tokyo
JPY-TONA-1530-8Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,8Y,15:30,Asia/Tokyo
JPY-TONA-1530-9Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,9Y,15:30,Asia/Tokyo
JPY-TONA-1530-10Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,10Y,15:30,Asia/Tokyo
JPY-TONA-1530-12Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,12Y,15:30,Asia/Tokyo
JPY-TONA-1530-15Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,15Y,15:30,Asia/Tokyo
JPY-TONA-1530-20Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,20Y,15:30,Asia/Tokyo
JPY-TONA-1530-25Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,25Y,15:30,Asia/Tokyo
JPY-TONA-1530-30Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,30Y,15:30,Asia/Tokyo
JPY-TONA-1530-40Y,TRUE,JPY-FIXED-1Y-TONAR-OIS,40Y,15:30,Asia/Tokyo
