Valuation Date,Curve Name,Date,Value,Label
2015-04-17,USD-Disc,2015-04-20,0.020767741,1D
2015-04-17,USD-Disc,2015-05-26,0.022177549,1M
2015-04-17,USD-Disc,2015-10-23,0.024857149,6M
2015-04-17,USD-Disc,2016-04-25,0.026440236,1Y
2015-04-17,USD-Disc,2017-04-25,0.027357137,2Y
2015-04-17,USD-Disc,2020-04-23,0.031027488,5Y
2015-04-17,USD-Disc,2025-04-23,0.031455516,10Y
2015-04-17,USD-3ML,2015-07-21,0.022374837,3M
2015-04-17,USD-3ML,2016-04-21,0.025879637,1Y
2015-04-17,USD-3ML,2017-04-21,0.028218294,2Y
2015-04-17,USD-3ML,2020-04-21,0.028936358,5Y
2015-04-17,USD-3ML,2025-04-22,0.03349825,10Y
2015-04-17,USD-6ML,2015-10-21,0.024628785,6M
2015-04-17,USD-6ML,2016-04-21,0.028819545,1Y
2015-04-17,USD-6ML,2017-04-21,0.031081312,2Y
2015-04-17,USD-6ML,2020-04-21,0.032317058,5Y
2015-04-17,USD-6ML,2025-04-22,0.035932213,10Y
2015-04-16,USD-Disc,2015-04-17,0.021046713,1D
2015-04-16,USD-Disc,2015-05-22,0.02240487,1M
2015-04-16,USD-Disc,2015-10-22,0.024440129,6M
2015-04-16,USD-Disc,2016-04-22,0.026306912,1Y
2015-04-16,USD-Disc,2017-04-24,0.026930014,2Y
2015-04-16,USD-Disc,2020-04-22,0.031025107,5Y
2015-04-16,USD-Disc,2025-04-23,0.031466138,10Y
2015-04-16,USD-3ML,2015-07-20,0.022260903,3M
2015-04-16,USD-3ML,2016-04-20,0.025959106,1Y
2015-04-16,USD-3ML,2017-04-20,0.02847721,2Y
2015-04-16,USD-3ML,2020-04-20,0.028701491,5Y
2015-04-16,USD-3ML,2025-04-22,0.032981886,10Y
2015-04-16,USD-6ML,2015-10-20,0.024288264,6M
2015-04-16,USD-6ML,2016-04-20,0.028610975,1Y
2015-04-16,USD-6ML,2017-04-20,0.031844446,2Y
2015-04-16,USD-6ML,2020-04-20,0.031703175,5Y
2015-04-16,USD-6ML,2025-04-22,0.035072555,10Y
2015-04-15,USD-Disc,2015-04-16,0.02129206,1D
2015-04-15,USD-Disc,2015-05-20,0.022537444,1M
2015-04-15,USD-Disc,2015-10-21,0.024752363,6M
2015-04-15,USD-Disc,2016-04-20,0.026524091,1Y
2015-04-15,USD-Disc,2017-04-19,0.026746979,2Y
2015-04-15,USD-Disc,2020-04-21,0.030566974,5Y
2015-04-15,USD-Disc,2025-04-21,0.031495553,10Y
2015-04-15,USD-3ML,2015-07-17,0.022369796,3M
2015-04-15,USD-3ML,2016-04-18,0.02618674,1Y
2015-04-15,USD-3ML,2017-04-18,0.028198388,2Y
2015-04-15,USD-3ML,2020-04-17,0.028619111,5Y
2015-04-15,USD-3ML,2025-04-17,0.032833096,10Y
2015-04-15,USD-6ML,2015-10-19,0.024598092,6M
2015-04-15,USD-6ML,2016-04-18,0.028840728,1Y
2015-04-15,USD-6ML,2017-04-18,0.031550869,2Y
2015-04-15,USD-6ML,2020-04-17,0.03176191,5Y
2015-04-15,USD-6ML,2025-04-17,0.035335337,10Y
2015-04-14,USD-Disc,2015-04-15,0.021245423,1D
2015-04-14,USD-Disc,2015-05-20,0.023035598,1M
2015-04-14,USD-Disc,2015-10-20,0.024973268,6M
2015-04-14,USD-Disc,2016-04-20,0.026186575,1Y
2015-04-14,USD-Disc,2017-04-19,0.027208905,2Y
2015-04-14,USD-Disc,2020-04-20,0.030112697,5Y
2015-04-14,USD-Disc,2025-04-18,0.031848373,10Y
2015-04-14,USD-3ML,2015-07-16,0.02239601,3M
2015-04-14,USD-3ML,2016-04-18,0.025989993,1Y
2015-04-14,USD-3ML,2017-04-18,0.02783994,2Y
2015-04-14,USD-3ML,2020-04-16,0.02897098,5Y
2015-04-14,USD-3ML,2025-04-16,0.032700161,10Y
2015-04-14,USD-6ML,2015-10-16,0.024181088,6M
2015-04-14,USD-6ML,2016-04-18,0.028586117,1Y
2015-04-14,USD-6ML,2017-04-18,0.031459285,2Y
2015-04-14,USD-6ML,2020-04-16,0.032128893,5Y
2015-04-14,USD-6ML,2025-04-16,0.034752936,10Y
2015-04-13,USD-Disc,2015-04-14,0.021083211,1D
2015-04-13,USD-Disc,2015-05-19,0.023049209,1M
2015-04-13,USD-Disc,2015-10-19,0.025092182,6M
2015-04-13,USD-Disc,2016-04-19,0.025859127,1Y
2015-04-13,USD-Disc,2017-04-19,0.02769823,2Y
2015-04-13,USD-Disc,2020-04-17,0.030150593,5Y
2015-04-13,USD-Disc,2025-04-17,0.031592304,10Y
2015-04-13,USD-3ML,2015-07-15,0.022575474,3M
2015-04-13,USD-3ML,2016-04-15,0.026047411,1Y
2015-04-13,USD-3ML,2017-04-18,0.027418318,2Y
2015-04-13,USD-3ML,2020-04-15,0.029058648,5Y
2015-04-13,USD-3ML,2025-04-15,0.033238056,10Y
2015-04-13,USD-6ML,2015-10-15,0.023935663,6M
2015-04-13,USD-6ML,2016-04-15,0.028248829,1Y
2015-04-13,USD-6ML,2017-04-18,0.031080243,2Y
2015-04-13,USD-6ML,2020-04-15,0.031892845,5Y
2015-04-13,USD-6ML,2025-04-15,0.035502277,10Y
2015-04-10,USD-Disc,2015-04-13,0.020861003,1D
2015-04-10,USD-Disc,2015-05-18,0.023018836,1M
2015-04-10,USD-Disc,2015-10-16,0.024825286,6M
2015-04-10,USD-Disc,2016-04-18,0.025927199,1Y
2015-04-10,USD-Disc,2017-04-18,0.027373418,2Y
2015-04-10,USD-Disc,2020-04-16,0.030112454,5Y
2015-04-10,USD-Disc,2025-04-16,0.031099891,10Y
2015-04-10,USD-3ML,2015-07-14,0.022694439,3M
2015-04-10,USD-3ML,2016-04-14,0.025694763,1Y
2015-04-10,USD-3ML,2017-04-18,0.027266009,2Y
2015-04-10,USD-3ML,2020-04-14,0.028710193,5Y
2015-04-10,USD-3ML,2025-04-14,0.033301672,10Y
2015-04-10,USD-6ML,2015-10-14,0.023618069,6M
2015-04-10,USD-6ML,2016-04-14,0.028148645,1Y
2015-04-10,USD-6ML,2017-04-18,0.031231433,2Y
2015-04-10,USD-6ML,2020-04-14,0.031174713,5Y
2015-04-10,USD-6ML,2025-04-14,0.035380416,10Y
2015-04-09,USD-Disc,2015-04-10,0.020965606,1D
2015-04-09,USD-Disc,2015-05-15,0.023118448,1M
2015-04-09,USD-Disc,2015-10-15,0.02481468,6M
2015-04-09,USD-Disc,2016-04-15,0.02635364,1Y
2015-04-09,USD-Disc,2017-04-17,0.027845872,2Y
2015-04-09,USD-Disc,2020-04-15,0.029794064,5Y
2015-04-09,USD-Disc,2025-04-16,0.030576445,10Y
2015-04-09,USD-3ML,2015-07-13,0.023109783,3M
2015-04-09,USD-3ML,2016-04-13,0.025962908,1Y
2015-04-09,USD-3ML,2017-04-13,0.027348668,2Y
2015-04-09,USD-3ML,2020-04-14,0.028731619,5Y
2015-04-09,USD-3ML,2025-04-14,0.033661323,10Y
2015-04-09,USD-6ML,2015-10-13,0.023130058,6M
2015-04-09,USD-6ML,2016-04-13,0.028520464,1Y
2015-04-09,USD-6ML,2017-04-13,0.031132711,2Y
2015-04-09,USD-6ML,2020-04-14,0.031712452,5Y
2015-04-09,USD-6ML,2025-04-14,0.036145687,10Y
2015-04-08,USD-Disc,2015-04-09,0.02104874,1D
2015-04-08,USD-Disc,2015-05-13,0.023020134,1M
2015-04-08,USD-Disc,2015-10-15,0.024708715,6M
2015-04-08,USD-Disc,2016-04-13,0.026267691,1Y
2015-04-08,USD-Disc,2017-04-12,0.027827795,2Y
2015-04-08,USD-Disc,2020-04-14,0.030018032,5Y
2015-04-08,USD-Disc,2025-04-14,0.030537012,10Y
2015-04-08,USD-3ML,2015-07-10,0.023201516,3M
2015-04-08,USD-3ML,2016-04-11,0.025740064,1Y
2015-04-08,USD-3ML,2017-04-10,0.02744312,2Y
2015-04-08,USD-3ML,2020-04-14,0.028591071,5Y
2015-04-08,USD-3ML,2025-04-10,0.033767103,10Y
2015-04-08,USD-6ML,2015-10-12,0.023138619,6M
2015-04-08,USD-6ML,2016-04-11,0.028726156,1Y
2015-04-08,USD-6ML,2017-04-10,0.031251603,2Y
2015-04-08,USD-6ML,2020-04-14,0.03139328,5Y
2015-04-08,USD-6ML,2025-04-10,0.035740299,10Y
2015-04-07,USD-Disc,2015-04-08,0.020954454,1D
2015-04-07,USD-Disc,2015-05-13,0.023020421,1M
2015-04-07,USD-Disc,2015-10-14,0.024575809,6M
2015-04-07,USD-Disc,2016-04-13,0.026559746,1Y
2015-04-07,USD-Disc,2017-04-12,0.027973024,2Y
2015-04-07,USD-Disc,2020-04-13,0.030021815,5Y
2015-04-07,USD-Disc,2025-04-11,0.030217665,10Y
2015-04-07,USD-3ML,2015-07-09,0.02316321,3M
2015-04-07,USD-3ML,2016-04-11,0.025738652,1Y
2015-04-07,USD-3ML,2017-04-10,0.027900439,2Y
2015-04-07,USD-3ML,2020-04-09,0.028127723,5Y
2015-04-07,USD-3ML,2025-04-09,0.033449431,10Y
2015-04-07,USD-6ML,2015-10-09,0.023385603,6M
2015-04-07,USD-6ML,2016-04-11,0.028853601,1Y
2015-04-07,USD-6ML,2017-04-10,0.032070088,2Y
2015-04-07,USD-6ML,2020-04-09,0.030634415,5Y
2015-04-07,USD-6ML,2025-04-09,0.035297102,10Y
2015-04-06,USD-Disc,2015-04-07,0.020768923,1D
2015-04-06,USD-Disc,2015-05-12,0.023088649,1M
2015-04-06,USD-Disc,2015-10-13,0.024302225,6M
2015-04-06,USD-Disc,2016-04-12,0.026480942,1Y
2015-04-06,USD-Disc,2017-04-12,0.028440725,2Y
2015-04-06,USD-Disc,2020-04-10,0.030446827,5Y
2015-04-06,USD-Disc,2025-04-10,0.030402357,10Y
2015-04-06,USD-3ML,2015-07-08,0.022850702,3M
2015-04-06,USD-3ML,2016-04-08,0.02570752,1Y
2015-04-06,USD-3ML,2017-04-10,0.027437492,2Y
2015-04-06,USD-3ML,2020-04-08,0.027896102,5Y
2015-04-06,USD-3ML,2025-04-08,0.03293929,10Y
2015-04-06,USD-6ML,2015-10-08,0.023658147,6M
2015-04-06,USD-6ML,2016-04-08,0.028918947,1Y
2015-04-06,USD-6ML,2017-04-10,0.031871993,2Y
2015-04-06,USD-6ML,2020-04-08,0.030802128,5Y
2015-04-06,USD-6ML,2025-04-08,0.034683326,10Y
2015-04-03,USD-Disc,2015-04-06,0.020793084,1D
2015-04-03,USD-Disc,2015-05-11,0.022706132,1M
2015-04-03,USD-Disc,2015-10-09,0.024457416,6M
2015-04-03,USD-Disc,2016-04-11,0.026297856,1Y
2015-04-03,USD-Disc,2017-04-11,0.028737684,2Y
2015-04-03,USD-Disc,2020-04-09,0.0299964,5Y
2015-04-03,USD-Disc,2025-04-09,0.030805174,10Y
2015-04-03,USD-3ML,2015-07-08,0.023054339,3M
2015-04-03,USD-3ML,2016-04-08,0.025398971,1Y
2015-04-03,USD-3ML,2017-04-10,0.027878033,2Y
2015-04-03,USD-3ML,2020-04-08,0.027883887,5Y
2015-04-03,USD-3ML,2025-04-08,0.032965066,10Y
2015-04-03,USD-6ML,2015-10-08,0.024112973,6M
2015-04-03,USD-6ML,2016-04-08,0.028981967,1Y
2015-04-03,USD-6ML,2017-04-10,0.032724647,2Y
2015-04-03,USD-6ML,2020-04-08,0.030411906,5Y
2015-04-03,USD-6ML,2025-04-08,0.035172789,10Y
2015-04-02,USD-Disc,2015-04-03,0.021077128,1D
2015-04-02,USD-Disc,2015-05-08,0.022622865,1M
2015-04-02,USD-Disc,2015-10-08,0.024540534,6M
2015-04-02,USD-Disc,2016-04-08,0.02623833,1Y
2015-04-02,USD-Disc,2017-04-10,0.028985949,2Y
2015-04-02,USD-Disc,2020-04-08,0.030384812,5Y
2015-04-02,USD-Disc,2025-04-09,0.030527549,10Y
2015-04-02,USD-3ML,2015-07-08,0.022693431,3M
2015-04-02,USD-3ML,2016-04-08,0.025496228,1Y
2015-04-02,USD-3ML,2017-04-10,0.028026948,2Y
2015-04-02,USD-3ML,2020-04-08,0.02814925,5Y
2015-04-02,USD-3ML,2025-04-08,0.032481997,10Y
2015-04-02,USD-6ML,2015-10-08,0.023690209,6M
2015-04-02,USD-6ML,2016-04-08,0.028743742,1Y
2015-04-02,USD-6ML,2017-04-10,0.032818299,2Y
2015-04-02,USD-6ML,2020-04-08,0.030382863,5Y
2015-04-02,USD-6ML,2025-04-08,0.034709147,10Y
2015-04-01,USD-Disc,2015-04-02,0.021166345,1D
2015-04-01,USD-Disc,2015-05-06,0.022210562,1M
2015-04-01,USD-Disc,2015-10-07,0.024636813,6M
2015-04-01,USD-Disc,2016-04-06,0.026213848,1Y
2015-04-01,USD-Disc,2017-04-05,0.028983005,2Y
2015-04-01,USD-Disc,2020-04-07,0.030348824,5Y
2015-04-01,USD-Disc,2025-04-07,0.030132476,10Y
2015-04-01,USD-3ML,2015-07-07,0.022804328,3M
2015-04-01,USD-3ML,2016-04-07,0.025955297,1Y
2015-04-01,USD-3ML,2017-04-07,0.027849319,2Y
2015-04-01,USD-3ML,2020-04-07,0.028503746,5Y
2015-04-01,USD-3ML,2025-04-07,0.032334461,10Y
2015-04-01,USD-6ML,2015-10-07,0.024174076,6M
2015-04-01,USD-6ML,2016-04-07,0.029114308,1Y
2015-04-01,USD-6ML,2017-04-07,0.032708626,2Y
2015-04-01,USD-6ML,2020-04-07,0.030201004,5Y
2015-04-01,USD-6ML,2025-04-07,0.034800519,10Y
2015-03-31,USD-Disc,2015-04-01,0.021198787,1D
2015-03-31,USD-Disc,2015-05-06,0.02213099,1M
2015-03-31,USD-Disc,2015-10-06,0.024852337,6M
2015-03-31,USD-Disc,2016-04-06,0.026525551,1Y
2015-03-31,USD-Disc,2017-04-05,0.028745067,2Y
2015-03-31,USD-Disc,2020-04-06,0.030198229,5Y
2015-03-31,USD-Disc,2025-04-04,0.030490737,10Y
2015-03-31,USD-3ML,2015-07-02,0.022563375,3M
2015-03-31,USD-3ML,2016-04-04,0.025889762,1Y
2015-03-31,USD-3ML,2017-04-03,0.027706487,2Y
2015-03-31,USD-3ML,2020-04-02,0.028636083,5Y
2015-03-31,USD-3ML,2025-04-02,0.031807956,10Y
2015-03-31,USD-6ML,2015-10-02,0.024226163,6M
2015-03-31,USD-6ML,2016-04-04,0.029048766,1Y
2015-03-31,USD-6ML,2017-04-03,0.032790084,2Y
2015-03-31,USD-6ML,2020-04-02,0.029818531,5Y
2015-03-31,USD-6ML,2025-04-02,0.034475661,10Y
2015-03-30,USD-Disc,2015-03-31,0.021368097,1D
2015-03-30,USD-Disc,2015-05-05,0.022148577,1M
2015-03-30,USD-Disc,2015-10-05,0.025114061,6M
2015-03-30,USD-Disc,2016-04-05,0.026986483,1Y
2015-03-30,USD-Disc,2017-04-05,0.028870993,2Y
2015-03-30,USD-Disc,2020-04-03,0.030564934,5Y
2015-03-30,USD-Disc,2025-04-03,0.030817263,10Y
2015-03-30,USD-3ML,2015-07-01,0.022745856,3M
2015-03-30,USD-3ML,2016-04-01,0.025754464,1Y
2015-03-30,USD-3ML,2017-04-03,0.027954802,2Y
2015-03-30,USD-3ML,2020-04-01,0.028877445,5Y
2015-03-30,USD-3ML,2025-04-01,0.031396888,10Y
2015-03-30,USD-6ML,2015-10-01,0.024030832,6M
2015-03-30,USD-6ML,2016-04-01,0.028711938,1Y
2015-03-30,USD-6ML,2017-04-03,0.032865758,2Y
2015-03-30,USD-6ML,2020-04-01,0.029999641,5Y
2015-03-30,USD-6ML,2025-04-01,0.034133484,10Y
2015-03-27,USD-Disc,2015-03-30,0.021229995,1D
2015-03-27,USD-Disc,2015-05-04,0.021823638,1M
2015-03-27,USD-Disc,2015-10-02,0.024952626,6M
2015-03-27,USD-Disc,2016-04-04,0.026574637,1Y
2015-03-27,USD-Disc,2017-04-04,0.02912264,2Y
2015-03-27,USD-Disc,2020-04-02,0.030538483,5Y
2015-03-27,USD-Disc,2025-04-02,0.0304357,10Y
2015-03-27,USD-3ML,2015-06-30,0.022611769,3M
2015-03-27,USD-3ML,2016-03-31,0.025750589,1Y
2015-03-27,USD-3ML,2017-03-31,0.027934136,2Y
2015-03-27,USD-3ML,2020-03-31,0.029313175,5Y
2015-03-27,USD-3ML,2025-03-31,0.031287454,10Y
2015-03-27,USD-6ML,2015-09-30,0.023642116,6M
2015-03-27,USD-6ML,2016-03-31,0.028224115,1Y
2015-03-27,USD-6ML,2017-03-31,0.032541893,2Y
2015-03-27,USD-6ML,2020-03-31,0.030217696,5Y
2015-03-27,USD-6ML,2025-03-31,0.03366583,10Y
2015-03-26,USD-Disc,2015-03-27,0.02120487,1D
2015-03-26,USD-Disc,2015-05-04,0.021677255,1M
2015-03-26,USD-Disc,2015-10-02,0.024932228,6M
2015-03-26,USD-Disc,2016-04-01,0.02623307,1Y
2015-03-26,USD-Disc,2017-04-03,0.029015424,2Y
2015-03-26,USD-Disc,2020-04-01,0.030546634,5Y
2015-03-26,USD-Disc,2025-04-02,0.030621943,10Y
2015-03-26,USD-3ML,2015-06-30,0.022696759,3M
2015-03-26,USD-3ML,2016-03-30,0.025955083,1Y
2015-03-26,USD-3ML,2017-03-30,0.02812199,2Y
2015-03-26,USD-3ML,2020-03-30,0.029671271,5Y
2015-03-26,USD-3ML,2025-03-31,0.030799825,10Y
2015-03-26,USD-6ML,2015-09-30,0.023288661,6M
2015-03-26,USD-6ML,2016-03-30,0.02884862,1Y
2015-03-26,USD-6ML,2017-03-30,0.032508996,2Y
2015-03-26,USD-6ML,2020-03-30,0.030518131,5Y
2015-03-26,USD-6ML,2025-03-31,0.03345744,10Y
2015-03-25,USD-Disc,2015-03-26,0.02109639,1D
2015-03-25,USD-Disc,2015-04-29,0.021690411,1M
2015-03-25,USD-Disc,2015-09-30,0.024639745,6M
2015-03-25,USD-Disc,2016-03-30,0.026606682,1Y
2015-03-25,USD-Disc,2017-03-29,0.029368717,2Y
2015-03-25,USD-Disc,2020-03-31,0.030925006,5Y
2015-03-25,USD-Disc,2025-03-31,0.030998484,10Y
2015-03-25,USD-3ML,2015-06-29,0.022857632,3M
2015-03-25,USD-3ML,2016-03-29,0.02567995,1Y
2015-03-25,USD-3ML,2017-03-27,0.027968237,2Y
2015-03-25,USD-3ML,2020-03-27,0.029543079,5Y
2015-03-25,USD-3ML,2025-03-27,0.030585819,10Y
2015-03-25,USD-6ML,2015-09-28,0.0230815,6M
2015-03-25,USD-6ML,2016-03-29,0.028100638,1Y
2015-03-25,USD-6ML,2017-03-27,0.032057565,2Y
2015-03-25,USD-6ML,2020-03-27,0.03046632,5Y
2015-03-25,USD-6ML,2025-03-27,0.033271557,10Y
2015-03-24,USD-Disc,2015-03-25,0.020988924,1D
2015-03-24,USD-Disc,2015-04-29,0.021682684,1M
2015-03-24,USD-Disc,2015-09-30,0.024901018,6M
2015-03-24,USD-Disc,2016-03-30,0.026822003,1Y
2015-03-24,USD-Disc,2017-03-29,0.02933531,2Y
2015-03-24,USD-Disc,2020-03-30,0.030539937,5Y
2015-03-24,USD-Disc,2025-03-28,0.031148596,10Y
2015-03-24,USD-3ML,2015-06-26,0.023264282,3M
2015-03-24,USD-3ML,2016-03-29,0.026171619,1Y
2015-03-24,USD-3ML,2017-03-27,0.028363237,2Y
2015-03-24,USD-3ML,2020-03-26,0.029152307,5Y
2015-03-24,USD-3ML,2025-03-26,0.030630562,10Y
2015-03-24,USD-6ML,2015-09-28,0.022930462,6M
2015-03-24,USD-6ML,2016-03-29,0.028945267,1Y
2015-03-24,USD-6ML,2017-03-27,0.032373745,2Y
2015-03-24,USD-6ML,2020-03-26,0.030306347,5Y
2015-03-24,USD-6ML,2025-03-26,0.033361454,10Y
2015-03-23,USD-Disc,2015-03-24,0.02103556,1D
2015-03-23,USD-Disc,2015-04-29,0.021560611,1M
2015-03-23,USD-Disc,2015-09-29,0.024995261,6M
2015-03-23,USD-Disc,2016-03-29,0.026418847,1Y
2015-03-23,USD-Disc,2017-03-29,0.029764363,2Y
2015-03-23,USD-Disc,2020-03-27,0.030212489,5Y
2015-03-23,USD-Disc,2025-03-27,0.030796098,10Y
2015-03-23,USD-3ML,2015-06-25,0.023703729,3M
2015-03-23,USD-3ML,2016-03-29,0.025821648,1Y
2015-03-23,USD-3ML,2017-03-27,0.028407196,2Y
2015-03-23,USD-3ML,2020-03-25,0.028948815,5Y
2015-03-23,USD-3ML,2025-03-25,0.030196419,10Y
2015-03-23,USD-6ML,2015-09-25,0.022905839,6M
2015-03-23,USD-6ML,2016-03-29,0.0290926,1Y
2015-03-23,USD-6ML,2017-03-27,0.032420733,2Y
2015-03-23,USD-6ML,2020-03-25,0.030481317,5Y
2015-03-23,USD-6ML,2025-03-25,0.032452801,10Y
2015-03-20,USD-Disc,2015-03-23,0.021376983,1D
2015-03-20,USD-Disc,2015-04-28,0.021153015,1M
2015-03-20,USD-Disc,2015-09-28,0.024653101,6M
2015-03-20,USD-Disc,2016-03-28,0.026459017,1Y
2015-03-20,USD-Disc,2017-03-28,0.030103718,2Y
2015-03-20,USD-Disc,2020-03-26,0.029809323,5Y
2015-03-20,USD-Disc,2025-03-26,0.031159222,10Y
2015-03-20,USD-3ML,2015-06-24,0.023451758,3M
2015-03-20,USD-3ML,2016-03-24,0.025498195,1Y
2015-03-20,USD-3ML,2017-03-24,0.028141924,2Y
2015-03-20,USD-3ML,2020-03-24,0.028481755,5Y
2015-03-20,USD-3ML,2025-03-24,0.030232776,10Y
2015-03-20,USD-6ML,2015-09-24,0.023085234,6M
2015-03-20,USD-6ML,2016-03-24,0.028395868,1Y
2015-03-20,USD-6ML,2017-03-24,0.03227551,2Y
2015-03-20,USD-6ML,2020-03-24,0.02956897,5Y
2015-03-20,USD-6ML,2025-03-24,0.032998745,10Y
2015-03-19,USD-Disc,2015-03-20,0.021520171,1D
2015-03-19,USD-Disc,2015-04-27,0.021609449,1M
2015-03-19,USD-Disc,2015-09-25,0.024421833,6M
2015-03-19,USD-Disc,2016-03-25,0.026580396,1Y
2015-03-19,USD-Disc,2017-03-27,0.030017258,2Y
2015-03-19,USD-Disc,2020-03-25,0.029578425,5Y
2015-03-19,USD-Disc,2025-03-26,0.031296306,10Y
2015-03-19,USD-3ML,2015-06-23,0.023545493,3M
2015-03-19,USD-3ML,2016-03-23,0.025070887,1Y
2015-03-19,USD-3ML,2017-03-23,0.028267574,2Y
2015-03-19,USD-3ML,2020-03-23,0.028868648,5Y
2015-03-19,USD-3ML,2025-03-24,0.030707372,10Y
2015-03-19,USD-6ML,2015-09-23,0.023087238,6M
2015-03-19,USD-6ML,2016-03-23,0.028444302,1Y
2015-03-19,USD-6ML,2017-03-23,0.032274813,2Y
2015-03-19,USD-6ML,2020-03-23,0.030482231,5Y
2015-03-19,USD-6ML,2025-03-24,0.033494304,10Y
2015-03-18,USD-Disc,2015-03-19,0.021956117,1D
2015-03-18,USD-Disc,2015-04-22,0.021378704,1M
2015-03-18,USD-Disc,2015-09-23,0.024620673,6M
2015-03-18,USD-Disc,2016-03-23,0.026752769,1Y
2015-03-18,USD-Disc,2017-03-22,0.030065404,2Y
2015-03-18,USD-Disc,2020-03-24,0.029315953,5Y
2015-03-18,USD-Disc,2025-03-24,0.030968318,10Y
2015-03-18,USD-3ML,2015-06-22,0.023321256,3M
2015-03-18,USD-3ML,2016-03-21,0.025554951,1Y
2015-03-18,USD-3ML,2017-03-20,0.027946047,2Y
2015-03-18,USD-3ML,2020-03-20,0.028671055,5Y
2015-03-18,USD-3ML,2025-03-20,0.03052357,10Y
